playerName,freeThrowsMade,points,plusMinusPoints,fieldGoalsMade,PER,turnovers,USG%,gamesPlayed,reboundsDefensive,minutes,assists,Actual_AllStar,Predicted_AllStar,Prediction_Confidence
Ekpe Udoh,2,2,11,0,-2.891126760563381,1,12.512399718483035,5,1,14.2,0,0,0,0.0
Kent Bazemore,64,370,-49,133,18.686935311209663,38,25.04619586953792,39,87,653.9,82,0,0,0.0
Austin Rivers,114,755,119,278,14.257515355539804,104,20.777432652284748,55,133,1693.2,162,0,0,0.0
Scotty Hopson,126,999,-5,434,17.445050155348426,130,21.618592140081244,81,383,2253.0,110,0,0,1.02
Michael Beasley,192,1046,-27,373,18.28863297817316,83,22.49270357403706,59,294,1933.4,85,0,0,0.33
Rashad Vaughn,18,230,-173,88,11.821044631306592,25,17.682187232501402,28,41,618.4,62,0,0,0.0
Danny Granger,0,0,0,0,14.257979607256786,0,18.572275528227934,2,0,0.0,0,0,0,0.0
Isaiah Briscoe,45,739,428,268,10.777083472175937,98,13.813822790215529,80,246,2400.8,164,0,0,0.5
Donte DiVincenzo,0,6,-11,2,13.542469135802472,0,15.267080124037207,10,2,16.2,1,0,0,0.0
Jordan Hill,67,398,80,149,16.15456659188252,41,16.81667754244026,34,129,980.6,100,0,0,0.0
Patrick Patterson,0,8,-1,4,13.929030303030304,2,14.928899911723908,13,8,33.0,4,0,0,0.0
Tyler Dorsey,303,1822,220,685,30.817199856218544,245,29.32547586032947,73,457,2503.8,589,1,1,91.18
Chris Duhon,266,1385,352,504,26.86418324735937,210,24.336906135248064,76,608,2442.6,458,0,1,66.34
Javon Freeman-Liberty,16,435,-52,174,11.308078976100932,28,10.76825530709289,82,221,1648.6,37,0,0,0.0
Harry Giles III,93,656,228,251,16.824846505093085,98,21.197312031719058,65,211,1423.5,109,0,0,1.0
David Lee,8,72,32,28,10.04100709699223,22,12.934172514638192,22,38,295.9,33,0,0,0.0
Rodney McGruder,65,424,-79,155,19.235250261467204,51,29.89742524766903,26,87,669.3,99,0,0,2.32
Nikola Vucevic,253,1100,-139,366,17.75769172755126,140,23.12567288085662,82,132,2121.5,316,0,0,1.76
Kevin Garnett,1,15,6,7,7.353383199079403,4,13.835681505763748,44,14,86.9,4,0,0,0.0
Rajon Rondo,83,465,8,161,16.907169834014905,70,28.93718412113151,31,67,831.4,163,0,0,0.71
Rudy Gay,58,486,-304,214,19.258969136351503,68,20.790461274494064,41,235,1124.3,25,0,0,0.0
Tre Mann,12,129,-6,53,12.58361230148727,17,16.440139782821962,37,70,396.7,26,0,0,0.0
Carmelo Anthony,148,844,250,276,17.54077348584287,168,18.32376710815724,64,249,2133.2,474,0,0,10.46
Ivan Johnson,55,257,-5,87,14.854666319986135,31,20.579536552204026,25,108,576.9,32,0,0,0.0
Andre Miller,10,63,-41,25,12.700250426863978,3,16.351327819672047,78,17,175.7,10,0,0,0.0
Larry Nance Jr.,6,40,14,14,11.838517179023512,6,16.55902961888574,10,10,110.6,10,0,0,0.0
Andre Miller,5,94,-51,36,7.095756405756406,11,17.968430214186125,46,21,284.9,23,0,0,0.0
Thaddeus Young,12,110,-79,44,8.633457419683834,22,17.341096331874333,80,40,392.2,50,0,0,0.0
Cameron Payne,256,1010,71,321,16.79912345090563,153,22.55023796245776,81,322,2098.0,178,0,0,2.54
Andre Drummond,1,54,-30,21,5.535995762711859,13,24.08749863378757,13,16,141.6,15,0,0,0.0
Bones Hyland,0,7,3,3,10.388163265306124,1,22.4003882965918,8,3,19.6,5,0,0,0.0
Erick Green,31,135,-13,52,14.625172413793104,39,14.386295468758563,71,111,522.0,27,0,0,0.0
Andrew Bogut,134,798,-230,332,17.679810270911243,102,16.347497470178528,79,411,2192.6,38,0,0,0.26
J.J. Barea,185,1105,173,403,12.6439835765769,105,18.314644652540043,81,212,2788.7,138,0,0,1.11
Wesley Matthews,1,10,21,4,1.937263157894734,3,10.580206480479273,17,4,76.0,8,0,0,0.0
Anthony Edwards,128,754,-79,312,25.812386921779925,92,24.85203858822213,67,444,1364.1,54,0,0,0.5
Timothe Luwawu-Cabarrot,116,556,-104,185,15.907239927841244,73,21.090795431457025,44,171,1330.4,256,0,0,0.5
Jeff Green,9,60,-47,23,10.290580589254764,4,14.578825615215893,40,33,230.8,6,0,0,0.0
Robbie Hummel,11,65,-22,24,6.723769074262464,11,20.47806177099809,80,31,196.6,10,0,0,0.0
Nerlens Noel,10,90,-3,38,8.566371504660456,17,18.49313639007358,51,31,300.4,27,0,0,0.0
Dillon Brooks,77,843,141,332,21.147047844678152,69,16.860710601730197,82,235,1730.6,128,0,0,0.07
LeBron James,77,545,-123,232,14.06621086828116,59,21.03117187433128,45,195,1354.4,70,0,0,0.13
Johnathan Motley,48,106,-135,24,6.306609783845277,22,18.32806354644209,53,36,351.6,17,0,0,0.36
Patrick Williams,25,196,6,73,12.666148555708393,26,23.38889873621389,23,37,436.2,33,0,0,0.0
Lorenzo Brown,47,584,-54,264,13.130219402898213,97,19.00100599624864,82,336,1718.3,121,0,0,0.0
Caleb Swanigan,29,168,-11,61,12.669178082191786,15,16.332835387254597,53,24,438.0,20,0,0,0.0
